year,region_code,price
2005.0,UKM,2.4
2005.0,UKN,2.14
2006.0,UKC,2.2
2006.0,UKD,2.4
2006.0,UKE,2.33
2006.0,UKF,2.46
2006.0,UKG,2.25
2006.0,UKH,2.49
2006.0,UKI,2.375
2006.0,UKJ,2.6
2006.0,UKK,2.41
2006.0,UKL,2.59
2006.0,UKM,2.4
2006.0,UKN,2.1
2007.0,UKC,2.15
2007.0,UKD,2.4
2007.0,UKE,2.27
2007.0,UKF,2.41
2007.0,UKG,2.26
2007.0,UKH,2.49
2007.0,UKI,2.29
2007.0,UKJ,2.8
2007.0,UKK,2.4
2007.0,UKL,2.59
2007.0,UKM,2.4
2007.0,UKN,2.09
2008.0,UKC,2.865
2008.0,UKD,2.79
2008.0,UKE,2.75
2008.0,UKF,2.85
2008.0,UKG,2.89
2008.0,UKH,2.95
2008.0,UKI,2.99
2008.0,UKJ,2.99
2008.0,UKK,2.89
2008.0,UKL,2.89
2008.0,UKM,2.89
2008.0,UKN,2.54
2009.0,UKC,2.94
2009.0,UKD,2.89
2009.0,UKE,2.95
2009.0,UKF,2.89
2009.0,UKG,3.0
2009.0,UKH,2.99
2009.0,UKI,3.0949998
2009.0,UKJ,3.09
2009.0,UKK,2.99
2009.0,UKL,2.89
2009.0,UKM,2.995
2009.0,UKN,2.89
2010.0,UKC,2.85
2010.0,UKD,2.89
2010.0,UKE,2.99
2010.0,UKF,2.85
2010.0,UKG,2.99
2010.0,UKH,2.95
2010.0,UKI,2.98
2010.0,UKJ,3.09
2010.0,UKK,3.06
2010.0,UKL,2.95
2010.0,UKM,2.9850001
2010.0,UKN,2.99
2011.0,UKC,2.95
2011.0,UKD,3.2
2011.0,UKE,3.09
2011.0,UKF,3.1950002
2011.0,UKG,3.19
2011.0,UKH,3.2
2011.0,UKI,3.0
2011.0,UKJ,3.45
2011.0,UKK,3.3
2011.0,UKL,3.15
2011.0,UKM,3.1
2011.0,UKN,3.47
2012.0,UKC,2.99
2012.0,UKD,3.32
2012.0,UKE,3.19
2012.0,UKF,3.29
2012.0,UKG,3.13
2012.0,UKH,3.28
2012.0,UKI,3.18
2012.0,UKJ,3.4
2012.0,UKK,3.45
2012.0,UKL,3.3
2012.0,UKM,3.0
2012.0,UKN,2.96
2013.0,UKC,3.33
2013.0,UKD,3.49
2013.0,UKE,3.25
2013.0,UKF,3.1
2013.0,UKG,3.39
2013.0,UKH,3.33
2013.0,UKI,3.28
2013.0,UKJ,3.565
2013.0,UKK,3.5
2013.0,UKL,3.31
2013.0,UKM,3.26
2013.0,UKN,3.33
2014.0,UKC,3.33
2014.0,UKD,3.5
2014.0,UKE,3.28
2014.0,UKF,3.33
2014.0,UKG,3.55
2014.0,UKH,3.39
2014.0,UKI,3.225
2014.0,UKJ,3.5
2014.0,UKK,3.5
2014.0,UKL,3.42
2014.0,UKM,3.33
2014.0,UKN,3.5
2015.0,UKC,3.33
2015.0,UKD,3.44
2015.0,UKE,3.3
2015.0,UKF,3.3
2015.0,UKG,3.33
2015.0,UKH,3.4
2015.0,UKI,2.99
2015.0,UKJ,3.33
2015.0,UKK,3.44
2015.0,UKL,3.33
2015.0,UKM,3.33
2015.0,UKN,2.96
2016.0,UKC,3.29
2016.0,UKD,3.145
2016.0,UKE,3.18
2016.0,UKF,3.13
2016.0,UKG,2.99
2016.0,UKH,3.26
2016.0,UKI,2.99
2016.0,UKJ,3.18
2016.0,UKK,3.33
2016.0,UKL,3.3
2016.0,UKM,3.23
2016.0,UKN,2.81
2017.0,UKC,3.33
2017.0,UKD,3.0
2017.0,UKE,3.01
2017.0,UKF,2.75
2017.0,UKG,2.935
2017.0,UKH,3.1149998
2017.0,UKI,2.77
2017.0,UKJ,3.07
2017.0,UKK,3.0149999
2017.0,UKL,3.3
2017.0,UKM,2.45
2017.0,UKN,2.7
2018.0,UKC,3.33
2018.0,UKD,2.89
2018.0,UKE,2.89
2018.0,UKF,2.76
2018.0,UKG,2.91
2018.0,UKH,2.9850001
2018.0,UKI,2.75
2018.0,UKJ,2.89
2018.0,UKK,2.935
2018.0,UKL,3.25
2018.0,UKM,2.38
2018.0,UKN,2.72
2019.0,UKC,2.89
2019.0,UKD,2.89
2019.0,UKE,2.65
2019.0,UKF,2.86
2019.0,UKG,2.66
2019.0,UKH,2.915
2019.0,UKI,2.66
2019.0,UKJ,2.86
2019.0,UKK,2.73
2019.0,UKL,3.23
2019.0,UKM,2.29
2019.0,UKN,2.82
2020.0,UKC,2.355
2020.0,UKD,2.83
2020.0,UKE,2.73
2020.0,UKF,2.69
2020.0,UKG,2.23
2020.0,UKH,2.99
2020.0,UKI,2.99
2020.0,UKJ,2.86
2020.0,UKK,2.71
2020.0,UKL,2.92
2020.0,UKM,2.16
2020.0,UKN,2.73
2021.0,UKC,2.89
2021.0,UKD,2.92
2021.0,UKE,2.8049998
2021.0,UKF,2.88
2021.0,UKG,2.73
2021.0,UKH,2.89
2021.0,UKI,2.89
2021.0,UKJ,2.89
2021.0,UKK,2.92
2021.0,UKL,2.92
2021.0,UKM,2.19
2021.0,UKN,3.2649999
2022.0,UKC,3.13
2022.0,UKD,3.21
2022.0,UKE,3.1550002
2022.0,UKF,3.25
2022.0,UKG,3.13
2022.0,UKH,3.0
2022.0,UKI,3.25
2022.0,UKJ,3.13
2022.0,UKK,3.275
2022.0,UKL,3.14
2022.0,UKM,2.895
2022.0,UKN,4.205
2023.0,UKC,3.92
2023.0,UKD,3.89
2023.0,UKE,3.42
2023.0,UKF,3.53
2023.0,UKG,3.415
2023.0,UKH,3.41
2023.0,UKI,3.82
2023.0,UKJ,4.5
2023.0,UKK,3.54
2023.0,UKL,3.45
2023.0,UKM,3.21
2023.0,UKN,3.67
2024.0,UKC,3.83
2024.0,UKD,3.89
2024.0,UKE,3.53
2024.0,UKF,3.41
2024.0,UKG,3.54
2024.0,UKH,3.41
2024.0,UKI,3.83
2024.0,UKJ,4.5
2024.0,UKK,3.89
2024.0,UKL,3.85
2024.0,UKM,3.2150002
2024.0,UKN,3.54
