Date,ADS.DE,005380.KS,KO,V
2022-11-01,100.0,100.0,100.0,100.0
2022-11-02,97.88824498180568,100.30395136778115,98.60831987784782,97.11013582409556
2022-11-03,94.92775163125813,98.48024316109422,98.55801371704771,94.11395490896048
2022-11-04,115.22683591891457,99.08814589665654,99.3628419315826,95.19161199419172
2022-11-07,116.15640867590962,103.03951367781156,99.74849478082376,96.69937330787668
2022-11-08,121.24886179641442,103.34346504559271,99.93292938307056,97.5112385450313
2022-11-09,125.73507214969615,103.03951367781156,98.54124926091839,93.71768208566631
2022-11-10,129.3321192495087,103.03951367781156,102.07914435136969,99.3427799740498
2022-11-11,137.05162950051016,104.55927051671732,102.81690194897516,99.06732095680051
2022-11-14,133.2322915873303,106.99088145896657,101.82763273598738,99.96617596873001
2022-11-15,133.49499190422347,106.0790273556231,101.65996258986989,101.47876718005654
2022-11-16,131.0700208353312,104.55927051671732,101.475521591417,101.55125251412764
2022-11-17,130.38293593467137,103.34346504559271,101.79409742752267,101.96202240423605
2022-11-18,130.54460478395484,103.03951367781156,102.51509056899882,101.8702027318196
2022-11-21,125.5936157609706,102.12765957446808,104.09121808580997,99.70522139218444
2022-11-22,124.28008334132478,100.6079027355623,104.54392875956839,101.64307218654407
2022-11-23,125.5936157609706,100.91185410334346,105.01341668186832,102.31962655083956
2022-11-24,127.97817732633703,101.82370820668693,,
2022-11-25,125.27028577119864,100.91185410334346,105.11401621105637,103.31513113282705
2022-11-28,122.5219770037394,101.82370820668693,105.13078706339178,102.09249600556407
2022-11-29,122.19864701396739,102.73556231003039,104.76190506648601,101.02933598714698
2022-11-30,123.53238418537619,102.73556231003039,106.65660841940282,104.86638364695469
2022-12-01,126.22006327995663,104.25531914893617,106.95841979937916,104.86638364695469
2022-12-02,125.55319854864976,102.73556231003039,107.89738285156683,105.18533386464662
2022-12-05,123.33029812377181,100.6079027355623,106.4218676563559,103.26197276321173
2022-12-06,120.29907657886146,100.0,106.37156149555577,101.03900315631968
2022-12-07,118.78346580640627,99.08814589665654,106.53923803787936,100.42526695692258
2022-12-08,118.76326105464334,98.48024316109422,106.99195510784388,101.04867032549231
2022-12-09,120.13741543837297,98.78419452887537,105.86854466099724,100.85536381148681
2022-12-12,118.72284384232246,99.3920972644377,107.2602311793555,103.70173678694859
2022-12-13,125.29049052296158,96.96048632218844,107.29376648782022,102.95268971469241
2022-12-14,125.27028577119864,99.3920972644377,107.29376648782022,103.08800796144105
2022-12-15,119.79387298804306,98.48024316109422,105.81824489640321,100.47359542889635
2022-12-16,122.36030815445588,98.78419452887537,105.21462213645052,99.98067303554421
2022-12-19,122.44114257909763,96.65653495440729,105.3655278264387,98.98033855591517
2022-12-20,119.53117267114987,95.44072948328268,105.28169275337994,99.24129313246074
2022-12-21,127.61443012424418,94.83282674772036,106.97518425550848,99.94201173274307
2022-12-22,126.46256655388186,96.35258358662614,106.2038913494383,99.09631509042892
2022-12-23,127.16984849750959,95.44072948328268,107.00871956397319,99.46842367773625
2022-12-26,,96.04863221884499,,
2022-12-27,127.65483962777004,96.04863221884499,107.66264208851992,99.6907169514807
2022-12-28,127.08901407286785,93.61702127659575,106.58953780247339,99.06249105915896
2022-12-29,129.7160789121595,91.79331306990882,107.2266958708908,100.54608076296746
2022-12-30,128.78649844636945,,106.65660841940282,100.40110272093578
2023-01-02,129.0289940114997,95.44072948328268,,
2023-01-03,133.25250404788827,96.65653495440729,105.54996882489158,100.22230064763397
2023-01-04,139.82015072852738,97.56838905775076,105.49966266409147,102.74489350776221
2023-01-05,139.98180416022083,96.65653495440729,104.29242354039216,102.02001067149294
2023-01-06,142.14407491221996,96.96048632218844,106.30449727483244,105.22882506508932
2023-01-09,143.13428505088885,99.69604863221885,104.9798813734036,105.63959495519771
2023-01-10,141.55805231434985,99.08814589665654,104.1750531588687,106.84289574411544
2023-01-11,146.04424725004154,99.69604863221885,103.97384130808042,107.33098823982601
2023-01-12,147.96403014570546,101.21580547112463,102.63246095052227,108.06553087137843
2023-01-13,148.04486457034722,102.73556231003039,103.00134294742804,107.79490912566018
2023-01-16,151.17711758286723,101.21580547112463,,
2023-01-17,152.18752476450402,100.91185410334346,103.42052470892784,107.76591499203178
2023-01-18,151.03566119414168,100.0,100.28504692384702,106.05519474294769
2023-01-19,145.64009054442286,99.69604863221885,100.13414123385886,106.51428573114029
2023-01-20,147.96403014570546,100.0,100.73776399381154,108.39897815588458
2023-01-23,150.308166789956,,100.98926921298778,108.33615261709663
2023-01-24,150.26775728643014,,101.52582135601104,108.19601184659597
2023-01-25,147.0142449281525,100.72948328267478,102.16297942442844,108.68409696841707
2023-01-26,146.7919541147852,106.44376899696049,101.96177396984623,108.59228466989013
2023-01-27,146.7919541147852,105.71428571428571,101.42522182682298,111.8445902639292
2023-01-30,148.85319339917467,105.71428571428571,101.67672704599921,110.71377480908261
2023-01-31,148.91381536325846,103.34346504559271,102.81690194897516,111.25018840287747
2023-02-01,149.1158937160678,101.51975683890578,102.83367280131056,111.58362831349415
2023-02-02,159.56350027397056,103.28267477203647,101.07310428604654,110.93606808282703
2023-02-03,162.73617820760649,103.28267477203647,100.31858223231174,111.21152710007637
2023-02-06,156.9768603557948,105.04559270516717,100.88866328759364,110.87807981557017
2023-02-07,154.67313321507015,103.64741641337386,100.72099314147614,111.78660199667232
2023-02-08,155.60270597206517,103.64741641337386,100.13414123385886,111.24535113134637
2023-02-09,157.88622065223188,104.92401215805471,99.9664646915353,110.83458861512749
2023-02-10,140.7092985644065,105.2887537993921,99.9664646915353,109.79558545880784
