Country,mostpopularsport,Latitude (average),Longitude (average)
Saint Vincent and the Grenadines,Football (soccer),,
Samoa,Rugby,-13.5833,-172.3333
San Marino,Football (soccer),43.7667,12.4167
Sao Tome and Principe,Football (soccer),1.0,7.0
Saudi Arabia,Football (soccer),25.0,45.0
Senegal,Football (soccer),14.0,-14.0
Serbia,Football (soccer),44.0,21.0
Seychelles,Football (soccer),-4.5833,55.6667
Sierra Leone,Football (soccer),8.5,-11.5
Singapore,Football (soccer),1.3667,103.8
Slovakia,Football (soccer),48.6667,19.5
Slovenia,Football (soccer),46.0,15.0
Solomon Islands,Football (soccer),-8.0,159.0
Somalia,Football (soccer),10.0,49.0
South Africa,Football (soccer),-29.0,24.0
South Korea,Football (soccer),37.0,127.5
South Sudan,Football (soccer),8.0,30.0
Spain,Football (soccer),40.0,-4.0
Sri Lanka,Cricket,7.0,81.0
Sudan,Football (soccer),15.0,30.0
Suriname,Football (soccer),4.0,-56.0
Sweden,Football (soccer),62.0,15.0
Switzerland,Football (soccer),47.0,8.0
Syria,Football (soccer),35.0,38.0
Taiwan,Baseball,23.5,121.0
Tajikistan,Football (soccer),39.0,71.0
Tanzania,Football (soccer),-6.0,35.0
Thailand,Football (soccer),15.0,100.0
Timor-Leste,Football (soccer),-8.55,125.5167
Togo,Football (soccer),8.0,1.1667
Tonga,Rugby,-20.0,-175.0
Trinidad and Tobago,Cricket,11.0,-61.0
Tunisia,Football (soccer),34.0,9.0
Turkey,Football (soccer),39.0,35.0
Turkmenistan,Football (soccer),40.0,60.0
Tuvalu,Football (soccer),-8.0,178.0
Uganda,Football (soccer),1.0,32.0
Ukraine,Football (soccer),49.0,32.0
United Arab Emirates,Football (soccer),24.0,54.0
United Kingdom,Football (soccer),54.0,-2.0
United States,American Football (NFL),38.0,-97.0
Uruguay,Football (soccer),-33.0,-56.0
Uzbekistan,Football (soccer),41.0,64.0
Vanuatu,Football (soccer),-16.0,167.0
Venezuela,Baseball,8.0,-66.0
Vietnam,Football (soccer),16.0,106.0
Wallis and Futuna,Football (soccer),-13.3,-176.2
Yemen,Football (soccer),15.0,48.0
Zambia,Football (soccer),-15.0,30.0
Zimbabwe,Football (soccer),-20.0,30.0
