year,region_code,price
2006,UKJ,3.3900001
2006,UKK,2.99
2006,UKL,2.99
2006,UKM,2.99
2006,UKN,2.75
2007,UKC,2.995
2007,UKD,3.98
2007,UKE,3.29
2007,UKF,3.3900001
2007,UKG,3.29
2007,UKH,3.5899999
2007,UKI,3.5699999
2007,UKJ,3.5899999
2007,UKK,3.49
2007,UKL,3.29
2007,UKM,3.275
2007,UKN,2.75
2008,UKC,3.5999999
2008,UKD,4.3899999
2008,UKE,3.505
2008,UKF,3.6300001
2008,UKG,3.5899999
2008,UKH,3.995
2008,UKI,3.99
2008,UKJ,3.9000001
2008,UKK,3.9000001
2008,UKL,4.25
2008,UKM,3.9250000500000004
2008,UKN,4.395
2009,UKC,3.99
2009,UKD,3.99
2009,UKE,3.8499999
2009,UKF,3.99
2009,UKG,3.99
2009,UKH,3.99
2009,UKI,3.99
2009,UKJ,3.99
2009,UKK,3.95
2009,UKL,3.95
2009,UKM,3.99
2009,UKN,3.6900001
2010,UKC,3.97
2010,UKD,3.99
2010,UKE,4.0
2010,UKF,3.99
2010,UKG,3.99
2010,UKH,3.99
2010,UKI,3.99
2010,UKJ,3.99
2010,UKK,3.99
2010,UKL,3.8900001
2010,UKM,4.3000002
2010,UKN,3.99
2011,UKC,4.3000002
2011,UKD,4.4899998
2011,UKE,4.1900001
2011,UKF,4.1900001
2011,UKG,4.3899999
2011,UKH,4.4000001
2011,UKI,4.4899998
2011,UKJ,4.29
2011,UKK,4.29
2011,UKL,3.995
2011,UKM,4.18499995
2011,UKN,4.4899998
2012,UKC,4.3899999
2012,UKD,4.3899999
2012,UKE,3.98
2012,UKF,4.1199999
2012,UKG,4.18499995
2012,UKH,4.1999998
2012,UKI,4.3899999
2012,UKJ,4.4499998
2012,UKK,4.3000002
2012,UKL,4.0500002
2012,UKM,4.4949999
2012,UKN,4.4899998
2013,UKC,4.1999998
2013,UKD,4.0
2013,UKE,3.95
2013,UKF,4.4000001
2013,UKG,4.0999999
2013,UKH,4.4000001
2013,UKI,4.0
2013,UKJ,4.6399999
2013,UKK,4.9499998
2013,UKL,4.0900002
2013,UKM,4.7750001
2013,UKN,4.4899998
2014,UKC,3.99
2014,UKD,4.0
2014,UKE,3.99
2014,UKF,4.1999998
2014,UKG,4.1700001
2014,UKH,4.1999998
2014,UKI,3.99
2014,UKJ,4.8000002
2014,UKK,5.0
2014,UKL,4.0500002
2014,UKM,4.5
2014,UKN,4.3000002
2015,UKC,3.8900001
2015,UKD,3.8
2015,UKE,3.8199999
2015,UKF,3.95
2015,UKG,3.8199999
2015,UKH,3.95
2015,UKI,3.8199999
2015,UKJ,4.3000002
2015,UKK,3.99
2015,UKL,3.8499999
2015,UKM,3.95
2015,UKN,3.8199999
2016,UKC,3.8199999
2016,UKD,3.6900001
2016,UKE,3.5
2016,UKF,3.8199999
2016,UKG,3.8199999
2016,UKH,3.8299999
2016,UKI,3.3499999
2016,UKJ,4.0
2016,UKK,3.9300001
2016,UKL,3.8199999
2016,UKM,3.8199999
2016,UKN,3.8199999
2017,UKC,3.8199999
2017,UKD,3.855
2017,UKE,3.5
2017,UKF,3.95
2017,UKG,3.9400001
2017,UKH,3.8199999
2017,UKI,3.6400001
2017,UKJ,4.4400001
2017,UKK,3.99
2017,UKL,3.8199999
2017,UKM,4.3000002
2017,UKN,3.8199999
2018,UKC,4.1999998
2018,UKD,4.0
2018,UKE,3.5
2018,UKF,4.5
2018,UKG,4.0
2018,UKH,3.8199999
2018,UKI,3.5
2018,UKJ,4.5
2018,UKK,4.0
2018,UKL,4.5
2018,UKM,4.5
2018,UKN,3.6500001
2019,UKC,4.1700001
2019,UKD,4.1100001
2019,UKE,3.795
2019,UKF,3.9000001
2019,UKG,3.75
2019,UKH,4.1999998
2019,UKI,4.3899999
2019,UKJ,4.5
2019,UKK,4.3000002
2019,UKL,4.3299999
2019,UKM,4.5
2019,UKN,3.5
2020,UKC,2.8800001
2020,UKD,3.1500001
2020,UKE,3.3
2020,UKF,3.0
2020,UKG,3.0
2020,UKH,3.4000001
2020,UKI,3.46
2020,UKJ,3.95
2020,UKK,3.5
2020,UKL,3.3
2020,UKM,3.3
2020,UKN,3.0
2021,UKC,2.8900001
2021,UKD,3.0999999
2021,UKE,3.3
2021,UKF,3.0
2021,UKG,3.0999999
2021,UKH,3.48
2021,UKI,3.5
2021,UKJ,4.4000001
2021,UKK,3.6800001
2021,UKL,3.3
2021,UKM,3.0999999
2021,UKN,3.52
2022,UKC,3.1300001
2022,UKD,3.6900001
2022,UKE,3.5
2022,UKF,3.5899999
2022,UKG,3.5
2022,UKH,3.6800001
2022,UKI,3.99
2022,UKJ,4.6900001
2022,UKK,4.1500001
2022,UKL,4.25
2022,UKM,4.29
2022,UKN,4.3699999
2023,UKC,3.8299999
2023,UKD,4.5999999
2023,UKE,4.5500002
2023,UKF,4.3000002
2023,UKG,4.0
